Year,Date_Temp,Date,State,Region,Place,Name,Line Check,Latitude,Longitude
2015.0,6/10,6/10/2015,Kedah,Bandar Baharu,Kg. Batu 16,"Kg. Batu 16, Bandar Baharu, Kedah",1,,
2015.0,7/10,7/10/2015,Kedah,Pendang,Sg. Pendang,"Sg. Pendang, Pendang, Kedah",1,6.0097128,100.4756952
2015.0,7/10,7/10/2015,Kedah,Pendang,Sg. Titi Teras,"Sg. Titi Teras, Pendang, Kedah",1,5.9699773,100.5707373
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Taman Serindit,"Taman Serindit, Kuala Muda, Kedah",1,,
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Pengkalan Lebai Man,"Pengkalan Lebai Man, Kuala Muda, Kedah",1,5.62793515,100.50511538086046
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Taman Mas Suria,"Taman Mas Suria, Kuala Muda, Kedah",1,,
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Taman Keladi,"Taman Keladi, Kuala Muda, Kedah",1,5.6153052,100.504523
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Taman Sejati,"Taman Sejati, Kuala Muda, Kedah",1,5.6419785000000005,100.49997327039162
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Kg. Pulau Tengah,"Kg. Pulau Tengah, Kuala Muda, Kedah",1,5.5890204,100.487492
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Kg. Pokok Asam,"Kg. Pokok Asam, Kuala Muda, Kedah",1,,
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Kg. Kilang Makau,"Kg. Kilang Makau, Kuala Muda, Kedah",1,5.5894696,100.4845292
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Kg. Pinang Tunggal,"Kg. Pinang Tunggal, Kuala Muda, Kedah",1,5.5746211,100.49980781918715
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Puspakom Kuala Muda,"Puspakom Kuala Muda, Kuala Muda, Kedah",1,5.6234807,100.53713734782033
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Kg. Masjib Tikam Batu,"Kg. Masjib Tikam Batu, Kuala Muda, Kedah",1,,
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Taman Seri Bayu,"Taman Seri Bayu, Kuala Muda, Kedah",1,5.71819545,100.54644591314619
2015.0,1/11,1/11/2015,Kedah,Kuala Muda,Taman Keranji,"Taman Keranji, Kuala Muda, Kedah",1,,
